estado_destino,ano_mes_compra,total_pedidos,media_dias_entrega,pedidos_atrasados,percentual_atraso,custo_medio_frete
PE,2017-02,20,18.6,1,5.0,26.91
GO,2017-02,24,22.3,1,4.2,25.64
RJ,2017-02,230,12.4,9,3.9,22.99
PR,2017-02,110,13.9,4,3.6,24.15
SP,2017-02,601,9.8,19,3.2,17.48
RS,2017-02,100,14.7,3,3.0,23.88
MG,2017-02,241,12.3,2,0.8,22.23
AC,2017-02,3,25.8,0,0.0,49.0
AM,2017-02,8,16.8,0,0.0,27.46
AP,2017-02,2,17.2,0,0.0,78.67
DF,2017-02,21,11.6,0,0.0,24.23
MA,2017-02,11,15.6,0,0.0,27.27
MT,2017-02,17,18.3,0,0.0,35.0
PA,2017-02,24,19.2,0,0.0,41.75
PI,2017-02,10,18.8,0,0.0,48.84
RN,2017-02,8,17.8,0,0.0,31.21
RO,2017-02,9,17.7,0,0.0,43.51
RR,2017-02,2,9.3,0,0.0,28.97
SE,2017-02,12,18.7,0,0.0,45.26
TO,2017-02,7,16.1,0,0.0,24.85
AP,2017-03,3,78.8,2,66.7,36.37
RR,2017-03,2,102.5,1,50.0,29.91
MT,2017-03,16,29.0,6,37.5,34.09
CE,2017-03,26,29.0,8,30.8,45.73
PI,2017-03,13,46.9,3,23.1,40.79
RN,2017-03,13,31.8,3,23.1,27.91
MA,2017-03,22,24.1,5,22.7,35.06
SC,2017-03,104,17.5,22,21.2,21.74
AL,2017-03,10,23.5,2,20.0,24.67
AM,2017-03,5,29.5,1,20.0,32.4
SE,2017-03,22,37.1,3,13.6,31.04
RO,2017-03,16,21.6,2,12.5,41.18
BA,2017-03,87,20.4,9,10.3,32.71
PA,2017-03,35,25.5,3,8.6,40.71
PB,2017-03,16,17.5,1,6.3,34.28
RJ,2017-03,370,10.7,19,5.1,21.45
PR,2017-03,121,11.6,5,4.1,19.32
MG,2017-03,343,11.7,11,3.2,22.29
SP,2017-03,966,9.6,31,3.2,16.5
PE,2017-03,36,17.2,1,2.8,37.13
RS,2017-03,144,14.3,4,2.8,23.72
AC,2017-03,2,20.2,0,0.0,37.09
DF,2017-03,54,11.9,0,0.0,21.36
ES,2017-03,47,9.6,0,0.0,21.23
GO,2017-03,47,14.4,0,0.0,25.63
MS,2017-03,19,12.5,0,0.0,28.44
TO,2017-03,7,16.9,0,0.0,21.94
AL,2017-04,21,30.9,10,47.6,28.61
SE,2017-04,13,29.4,4,30.8,57.3
BA,2017-04,84,28.5,15,17.9,30.03
TO,2017-04,13,22.5,2,15.4,45.89
PB,2017-04,20,26.6,3,15.0,30.27
CE,2017-04,42,28.9,6,14.3,28.4
RO,2017-04,7,20.2,1,14.3,28.41
SC,2017-04,100,16.4,13,13.0,21.25
RN,2017-04,10,19.1,1,10.0,32.14
SP,2017-04,873,12.0,73,8.4,17.51
PE,2017-04,36,22.8,3,8.3,27.05
MT,2017-04,25,21.7,2,8.0,28.38
RJ,2017-04,325,14.3,26,8.0,21.42
GO,2017-04,38,19.5,3,7.9,26.96
MS,2017-04,15,15.3,1,6.7,20.29
ES,2017-04,45,13.5,2,4.4,21.36
MA,2017-04,25,21.2,1,4.0,28.63
PR,2017-04,112,13.6,4,3.6,21.73
RS,2017-04,132,14.4,4,3.0,21.98
MG,2017-04,266,11.8,7,2.6,21.36
AC,2017-04,5,26.0,0,0.0,37.83
AM,2017-04,13,20.8,0,0.0,26.14
DF,2017-04,34,14.9,0,0.0,30.97
PA,2017-04,36,17.9,0,0.0,37.0
PI,2017-04,11,13.2,0,0.0,28.24
RR,2017-04,2,22.2,0,0.0,28.97
AP,2017-05,4,18.5,1,25.0,41.74
AM,2017-05,8,32.8,1,12.5,28.47
AL,2017-05,26,22.4,2,7.7,35.97
PB,2017-05,17,16.9,1,5.9,33.13
SC,2017-05,146,14.3,8,5.5,22.67
SP,2017-05,1363,8.9,70,5.1,17.2
BA,2017-05,119,16.8,6,5.0,29.45
GO,2017-05,83,16.0,3,3.6,28.49
RJ,2017-05,466,11.1,16,3.4,22.14
ES,2017-05,90,12.8,3,3.3,25.33
PA,2017-05,35,19.1,1,2.9,33.33
MT,2017-05,37,15.0,1,2.7,25.66
DF,2017-05,60,11.7,1,1.7,20.58
MG,2017-05,412,10.7,7,1.7,20.76
CE,2017-05,62,16.6,1,1.6,34.88
PE,2017-05,63,15.2,1,1.6,38.28
PR,2017-05,206,10.3,3,1.5,21.48
RS,2017-05,205,11.5,2,1.0,22.41
AC,2017-05,8,20.0,0,0.0,34.67
MA,2017-05,31,16.5,0,0.0,32.27
MS,2017-05,26,12.6,0,0.0,21.34
PI,2017-05,23,14.3,0,0.0,38.28
RN,2017-05,17,15.8,0,0.0,52.9
RO,2017-05,8,16.9,0,0.0,34.68
RR,2017-05,2,28.3,0,0.0,42.43
SE,2017-05,11,19.8,0,0.0,34.4
TO,2017-05,17,12.9,0,0.0,31.09
AL,2017-06,10,26.2,4,40.0,31.73
PB,2017-06,22,20.1,2,9.1,53.68
BA,2017-06,103,18.3,9,8.7,26.83
PA,2017-06,36,19.5,3,8.3,30.94
RN,2017-06,12,20.2,1,8.3,29.31
PE,2017-06,41,19.3,3,7.3,39.49
ES,2017-06,79,16.1,5,6.3,25.28
SC,2017-06,109,14.4,5,4.6,24.29
SP,2017-06,1284,9.3,55,4.3,17.06
MT,2017-06,24,16.8,1,4.2,23.34
GO,2017-06,73,15.6,3,4.1,24.48
RJ,2017-06,399,12.5,15,3.8,21.48
DF,2017-06,69,13.8,2,2.9,21.66
RS,2017-06,215,12.4,5,2.3,22.08
MG,2017-06,356,12.1,6,1.7,22.68
PR,2017-06,167,11.3,2,1.2,26.1
AC,2017-06,4,18.7,0,0.0,31.12
AM,2017-06,1,5.5,0,0.0,34.85
AP,2017-06,2,25.6,0,0.0,58.52
CE,2017-06,44,16.6,0,0.0,30.09
MA,2017-06,15,16.5,0,0.0,35.77
MS,2017-06,27,14.5,0,0.0,23.53
PI,2017-06,14,13.5,0,0.0,34.25
RO,2017-06,10,18.0,0,0.0,51.01
RR,2017-06,3,19.8,0,0.0,27.26
SE,2017-06,8,20.2,0,0.0,38.9
TO,2017-06,8,15.0,0,0.0,59.49
AL,2017-07,15,31.2,7,46.7,40.04
PB,2017-07,26,26.8,7,26.9,49.46
PE,2017-07,70,23.7,13,18.6,33.21
RN,2017-07,27,24.0,4,14.8,36.45
PA,2017-07,36,19.0,3,8.3,34.08
ES,2017-07,81,14.8,5,6.2,21.26
BA,2017-07,144,18.1,8,5.6,25.35
SC,2017-07,152,13.1,8,5.3,21.66
GO,2017-07,77,14.5,4,5.2,21.48
PI,2017-07,20,14.9,1,5.0,36.84
RJ,2017-07,547,12.4,20,3.7,22.99
MA,2017-07,37,20.7,1,2.7,37.28
RS,2017-07,242,13.4,6,2.5,23.83
SP,2017-07,1543,8.0,38,2.5,17.05
MG,2017-07,435,11.2,6,1.4,22.35
PR,2017-07,195,10.8,2,1.0,23.19
AC,2017-07,5,18.3,0,0.0,35.14
AM,2017-07,5,18.7,0,0.0,49.16
AP,2017-07,1,16.8,0,0.0,32.49
CE,2017-07,53,16.8,0,0.0,39.13
DF,2017-07,75,12.7,0,0.0,26.8
MS,2017-07,24,13.8,0,0.0,22.41
MT,2017-07,37,15.6,0,0.0,28.2
RO,2017-07,10,18.5,0,0.0,34.49
RR,2017-07,1,8.5,0,0.0,45.11
SE,2017-07,13,19.1,0,0.0,30.85
TO,2017-07,1,18.1,0,0.0,29.08
AL,2017-08,17,25.1,4,23.5,39.36
PE,2017-08,83,21.7,14,16.9,31.39
SE,2017-08,19,17.7,2,10.5,42.49
RN,2017-08,20,19.6,2,10.0,36.4
RS,2017-08,296,15.2,24,8.1,21.65
PB,2017-08,16,19.0,1,6.3,45.52
MA,2017-08,38,19.2,2,5.3,42.81
PI,2017-08,20,17.1,1,5.0,46.16
ES,2017-08,94,13.6,4,4.3,23.43
SC,2017-08,152,13.2,6,3.9,24.39
RJ,2017-08,537,12.4,18,3.4,22.24
BA,2017-08,152,15.3,5,3.3,27.79
CE,2017-08,73,16.1,2,2.7,31.71
MG,2017-08,459,11.0,11,2.4,22.41
SP,2017-08,1665,7.5,40,2.4,16.42
GO,2017-08,89,13.5,2,2.2,27.62
DF,2017-08,83,11.8,1,1.2,21.33
AC,2017-08,4,18.1,0,0.0,31.98
AM,2017-08,5,23.7,0,0.0,41.36
AP,2017-08,3,22.3,0,0.0,31.66
MS,2017-08,24,13.4,0,0.0,26.13
MT,2017-08,38,15.6,0,0.0,29.54
PA,2017-08,57,17.3,0,0.0,41.49
PR,2017-08,220,9.9,0,0.0,22.14
RO,2017-08,14,17.6,0,0.0,41.36
TO,2017-08,15,14.2,0,0.0,25.73
AL,2017-09,19,31.4,8,42.1,41.49
PB,2017-09,25,26.5,7,28.0,51.8
AC,2017-09,5,26.7,1,20.0,48.47
BA,2017-09,167,19.1,32,19.2,25.88
PA,2017-09,41,24.2,6,14.6,36.91
RN,2017-09,23,21.6,3,13.0,30.43
SE,2017-09,16,20.6,2,12.5,45.39
DF,2017-09,94,12.9,10,10.6,23.01
MA,2017-09,41,17.7,4,9.8,43.5
SC,2017-09,153,14.4,13,8.5,23.56
PE,2017-09,74,16.5,6,8.1,34.05
TO,2017-09,16,19.4,1,6.3,44.16
MT,2017-09,34,16.1,2,5.9,38.42
RJ,2017-09,591,12.9,35,5.9,23.08
GO,2017-09,84,13.8,4,4.8,27.44
PI,2017-09,22,16.6,1,4.5,33.0
ES,2017-09,93,12.8,4,4.3,22.35
SP,2017-09,1576,8.4,61,3.9,17.33
RS,2017-09,273,13.9,8,2.9,22.62
CE,2017-09,74,15.3,2,2.7,35.6
MG,2017-09,493,10.2,5,1.0,22.98
PR,2017-09,176,11.6,1,0.6,22.07
AM,2017-09,9,24.3,0,0.0,39.46
AP,2017-09,2,19.6,0,0.0,67.31
MS,2017-09,32,11.9,0,0.0,20.84
RO,2017-09,16,17.5,0,0.0,46.27
RR,2017-09,1,17.0,0,0.0,25.38
RR,2017-10,3,33.4,1,33.3,45.39
SE,2017-10,22,23.5,6,27.3,37.69
MA,2017-10,48,21.3,13,27.1,45.65
BA,2017-10,158,18.2,17,10.8,27.18
AL,2017-10,28,20.4,3,10.7,35.62
PA,2017-10,52,24.9,5,9.6,38.45
MS,2017-10,33,13.7,3,9.1,31.33
RJ,2017-10,654,13.1,54,8.3,23.07
PE,2017-10,77,17.7,6,7.8,38.66
ES,2017-10,100,14.6,6,6.0,22.87
GO,2017-10,106,14.2,6,5.7,25.35
DF,2017-10,92,12.5,5,5.4,22.79
SC,2017-10,174,12.9,9,5.2,21.56
CE,2017-10,63,19.6,3,4.8,36.28
PR,2017-10,198,12.8,9,4.5,24.07
PI,2017-10,23,16.0,1,4.3,39.48
RN,2017-10,23,18.4,1,4.3,49.98
RS,2017-10,244,14.4,10,4.1,24.78
SP,2017-10,1723,8.3,71,4.1,17.47
MT,2017-10,50,16.2,1,2.0,42.88
MG,2017-10,542,10.4,7,1.3,22.77
AC,2017-10,5,13.1,0,0.0,36.12
AM,2017-10,3,19.6,0,0.0,31.23
AP,2017-10,3,18.7,0,0.0,34.96
PB,2017-10,28,19.3,0,0.0,45.68
RO,2017-10,13,16.7,0,0.0,52.44
TO,2017-10,13,13.9,0,0.0,33.02
PI,2017-11,31,26.8,18,58.1,35.41
MA,2017-11,53,30.4,29,54.7,45.2
RR,2017-11,2,34.1,1,50.0,26.41
CE,2017-11,103,25.0,31,30.1,36.65
RJ,2017-11,1012,19.2,284,28.1,24.13
SE,2017-11,26,26.4,7,26.9,39.77
AL,2017-11,26,23.2,6,23.1,57.89
ES,2017-11,168,17.4,38,22.6,27.05
AC,2017-11,5,24.1,1,20.0,59.05
RN,2017-11,41,20.7,8,19.5,37.18
PB,2017-11,27,23.9,5,18.5,48.84
GO,2017-11,153,18.5,27,17.6,25.73
TO,2017-11,17,19.8,3,17.6,43.7
BA,2017-11,243,20.4,41,16.9,27.29
SC,2017-11,288,17.6,46,16.0,22.21
RS,2017-11,409,19.0,64,15.6,23.96
PA,2017-11,69,26.5,10,14.5,39.22
MT,2017-11,73,20.1,10,13.7,27.15
PE,2017-11,125,19.4,17,13.6,37.08
DF,2017-11,157,15.1,20,12.7,24.14
MS,2017-11,44,16.1,5,11.4,25.72
PR,2017-11,365,14.7,37,10.1,23.25
MG,2017-11,922,14.4,90,9.8,23.26
SP,2017-11,2898,10.7,245,8.5,17.32
AM,2017-11,10,34.2,0,0.0,36.58
AP,2017-11,4,28.0,0,0.0,44.32
RO,2017-11,17,17.1,0,0.0,70.9
RJ,2017-12,746,21.8,195,26.1,23.8
SE,2017-12,20,24.5,3,15.0,45.21
BA,2017-12,188,22.4,27,14.4,27.21
PI,2017-12,23,20.8,3,13.0,37.46
MA,2017-12,40,24.4,5,12.5,42.29
RS,2017-12,278,20.1,32,11.5,24.42
PB,2017-12,37,21.6,4,10.8,38.67
PA,2017-12,58,26.5,6,10.3,33.83
MT,2017-12,49,23.3,5,10.2,31.25
CE,2017-12,79,23.1,8,10.1,29.63
PE,2017-12,101,21.6,9,8.9,34.52
MS,2017-12,34,19.9,3,8.8,22.78
GO,2017-12,125,18.5,10,8.0,21.69
TO,2017-12,14,18.9,1,7.1,31.08
RN,2017-12,30,16.9,2,6.7,31.0
ES,2017-12,108,19.7,7,6.5,19.08
SC,2017-12,192,17.8,12,6.3,21.54
DF,2017-12,129,15.4,7,5.4,22.77
PR,2017-12,260,14.8,14,5.4,20.0
MG,2017-12,669,14.6,27,4.0,21.38
SP,2017-12,2295,10.2,82,3.6,16.62
AC,2017-12,5,21.9,0,0.0,61.76
AL,2017-12,12,21.8,0,0.0,38.07
AM,2017-12,6,36.9,0,0.0,24.03
AP,2017-12,4,30.5,0,0.0,42.16
RO,2017-12,11,21.2,0,0.0,41.89
AL,2018-01,36,27.9,13,36.1,33.59
RJ,2018-01,850,18.4,125,14.7,23.61
CE,2018-01,77,24.7,10,13.0,34.98
PB,2018-01,31,22.1,4,12.9,39.43
PI,2018-01,47,19.4,6,12.8,39.43
SC,2018-01,311,19.2,36,11.6,23.48
ES,2018-01,145,16.6,16,11.0,23.67
RS,2018-01,367,19.0,34,9.3,23.42
PE,2018-01,102,19.2,9,8.8,31.92
PA,2018-01,69,25.9,6,8.7,39.8
BA,2018-01,228,19.0,17,7.5,31.14
MA,2018-01,55,19.7,4,7.3,43.35
MS,2018-01,70,15.3,4,5.7,27.56
SE,2018-01,19,19.5,1,5.3,34.26
RO,2018-01,20,24.7,1,5.0,40.17
GO,2018-01,144,16.1,7,4.9,22.54
DF,2018-01,135,12.9,6,4.4,21.61
SP,2018-01,2975,10.0,118,4.0,16.7
MG,2018-01,846,12.8,32,3.8,22.5
MT,2018-01,83,19.3,3,3.6,26.87
PR,2018-01,371,13.8,11,3.0,20.77
RN,2018-01,42,15.4,1,2.4,31.09
AC,2018-01,6,18.7,0,0.0,45.82
AM,2018-01,12,31.3,0,0.0,42.32
AP,2018-01,11,24.9,0,0.0,35.92
RR,2018-01,1,25.0,0,0.0,33.79
TO,2018-01,16,18.5,0,0.0,41.27
TO,2018-02,20,27.5,11,55.0,36.14
CE,2018-02,84,30.7,36,42.9,33.31
AL,2018-02,27,27.3,10,37.0,40.29
MA,2018-02,55,29.3,20,36.4,46.95
RJ,2018-02,879,23.8,316,35.9,22.9
RR,2018-02,3,47.6,1,33.3,35.21
SC,2018-02,254,21.8,66,26.0,22.85
MS,2018-02,64,21.2,16,25.0,23.95
PI,2018-02,32,22.8,8,25.0,45.25
GO,2018-02,146,20.1,32,21.9,24.36
BA,2018-02,208,23.3,45,21.6,28.9
ES,2018-02,149,19.4,24,16.1,22.39
PA,2018-02,57,29.6,9,15.8,35.53
DF,2018-02,170,18.9,25,14.7,20.62
RS,2018-02,363,21.2,53,14.6,22.91
MT,2018-02,67,22.2,9,13.4,24.99
SE,2018-02,15,18.3,2,13.3,41.08
PE,2018-02,121,20.8,16,13.2,28.56
AM,2018-02,8,33.1,1,12.5,57.24
MG,2018-02,790,15.8,83,10.5,21.99
PR,2018-02,335,14.8,33,9.9,20.44
RN,2018-02,23,20.9,2,8.7,40.27
PB,2018-02,35,19.3,3,8.6,45.49
SP,2018-02,2632,11.4,227,8.6,16.38
AC,2018-02,3,23.1,0,0.0,32.46
AP,2018-02,2,22.1,0,0.0,39.2
RO,2018-02,13,21.3,0,0.0,40.81
SE,2018-03,17,25.6,11,64.7,52.01
MA,2018-03,49,26.5,27,55.1,51.95
CE,2018-03,93,29.7,50,53.8,43.5
PA,2018-03,67,37.9,35,52.2,42.54
ES,2018-03,133,21.7,59,44.4,23.97
AL,2018-03,27,24.3,11,40.7,39.2
MS,2018-03,57,21.9,23,40.4,27.7
RJ,2018-03,864,24.3,319,36.9,25.61
BA,2018-03,235,23.3,83,35.3,35.1
PI,2018-03,34,22.3,12,35.3,47.1
TO,2018-03,20,21.1,7,35.0,50.29
MT,2018-03,52,23.1,14,26.9,33.99
AM,2018-03,8,39.1,2,25.0,57.63
SC,2018-03,247,17.2,58,23.5,25.87
PE,2018-03,107,21.5,25,23.4,38.39
MG,2018-03,856,16.8,199,23.2,24.91
RO,2018-03,13,26.2,3,23.1,44.54
RN,2018-03,38,24.1,8,21.1,44.03
RS,2018-03,407,19.9,84,20.6,25.32
DF,2018-03,147,16.3,30,20.4,26.43
GO,2018-03,141,18.9,28,19.9,29.37
PR,2018-03,369,15.3,56,15.2,24.03
PB,2018-03,39,22.6,5,12.8,50.78
SP,2018-03,2971,10.4,347,11.7,17.53
AC,2018-03,2,35.7,0,0.0,33.44
AP,2018-03,5,32.2,0,0.0,33.83
RR,2018-03,5,32.2,0,0.0,62.8
RR,2018-04,2,42.7,1,50.0,29.68
SE,2018-04,13,29.3,6,46.2,32.58
RN,2018-04,32,27.3,12,37.5,47.41
PA,2018-04,66,31.4,22,33.3,40.45
AL,2018-04,27,23.8,7,25.9,38.9
AC,2018-04,4,35.3,1,25.0,41.3
CE,2018-04,96,24.2,24,25.0,36.1
BA,2018-04,216,22.4,53,24.5,30.57
PB,2018-04,28,23.8,6,21.4,46.47
ES,2018-04,140,17.6,24,17.1,25.34
MA,2018-04,46,20.0,7,15.2,45.51
PE,2018-04,110,20.7,16,14.5,40.35
PI,2018-04,34,16.4,4,11.8,58.6
MS,2018-04,43,16.4,4,9.3,27.38
GO,2018-04,132,15.3,8,6.1,25.7
RJ,2018-04,807,14.3,48,5.9,25.55
TO,2018-04,19,16.7,1,5.3,56.77
DF,2018-04,146,11.3,6,4.1,22.47
RS,2018-04,345,13.3,12,3.5,24.96
MG,2018-04,778,11.1,23,3.0,24.38
SC,2018-04,245,12.0,6,2.4,29.28
SP,2018-04,3002,7.3,63,2.1,17.38
MT,2018-04,64,18.1,1,1.6,34.19
PR,2018-04,381,10.2,6,1.6,27.09
AM,2018-04,6,26.4,0,0.0,37.62
AP,2018-04,5,27.2,0,0.0,44.02
RO,2018-04,11,22.5,0,0.0,53.27
SE,2018-05,8,19.7,2,25.0,29.68
TO,2018-05,16,19.1,4,25.0,35.9
BA,2018-05,237,20.4,51,21.5,30.98
PI,2018-05,30,21.1,6,20.0,58.24
ES,2018-05,132,16.0,25,18.9,25.64
PE,2018-05,102,18.3,17,16.7,28.65
AL,2018-05,19,21.5,3,15.8,38.74
MA,2018-05,32,18.8,5,15.6,47.05
CE,2018-05,72,21.2,11,15.3,35.62
PA,2018-05,40,25.4,5,12.5,42.62
DF,2018-05,140,11.9,17,12.1,26.1
MG,2018-05,751,12.0,87,11.6,23.61
MS,2018-05,44,13.6,5,11.4,25.83
PR,2018-05,308,12.3,33,10.7,25.46
RN,2018-05,22,17.5,2,9.1,34.81
RJ,2018-05,816,13.3,66,8.1,23.61
SC,2018-05,226,13.4,18,8.0,26.88
GO,2018-05,136,13.9,10,7.4,26.71
PB,2018-05,29,20.7,2,6.9,36.18
SP,2018-05,3138,8.0,172,5.5,17.17
MT,2018-05,66,16.4,3,4.5,38.3
RS,2018-05,350,13.4,12,3.4,26.38
AC,2018-05,2,20.6,0,0.0,68.27
AM,2018-05,9,26.5,0,0.0,41.11
AP,2018-05,6,23.7,0,0.0,39.04
RO,2018-05,17,21.1,0,0.0,53.07
RR,2018-05,1,18.4,0,0.0,81.79
PI,2018-06,29,22.9,9,31.0,39.8
MA,2018-06,41,20.0,6,14.6,47.22
BA,2018-06,198,18.1,14,7.1,36.43
ES,2018-06,123,13.7,6,4.9,28.81
PB,2018-06,28,16.0,1,3.6,43.83
PE,2018-06,91,12.5,2,2.2,39.44
MS,2018-06,49,12.0,1,2.0,38.34
MT,2018-06,58,14.7,1,1.7,46.09
RJ,2018-06,707,10.6,10,1.4,27.04
RS,2018-06,304,12.1,4,1.3,29.56
GO,2018-06,105,12.0,1,1.0,28.79
SP,2018-06,2735,6.5,26,1.0,18.8
DF,2018-06,147,9.1,1,0.7,24.69
MG,2018-06,714,8.5,1,0.1,27.45
AC,2018-06,3,11.5,0,0.0,56.45
AL,2018-06,24,20.5,0,0.0,46.76
AM,2018-06,7,18.5,0,0.0,40.92
AP,2018-06,2,17.2,0,0.0,40.22
CE,2018-06,72,15.3,0,0.0,48.42
PA,2018-06,54,17.8,0,0.0,48.01
PR,2018-06,306,8.8,0,0.0,26.26
RN,2018-06,35,13.8,0,0.0,54.36
RO,2018-06,11,15.8,0,0.0,45.22
RR,2018-06,5,18.3,0,0.0,62.08
SC,2018-06,205,10.0,0,0.0,30.8
SE,2018-06,25,14.8,0,0.0,45.09
TO,2018-06,18,14.2,0,0.0,52.09
AL,2018-07,22,23.3,4,18.2,38.01
MA,2018-07,39,17.7,7,17.9,47.47
ES,2018-07,122,12.3,12,9.8,28.84
PI,2018-07,32,15.4,3,9.4,48.05
TO,2018-07,22,14.6,2,9.1,53.7
SE,2018-07,26,14.4,2,7.7,45.83
BA,2018-07,245,13.6,17,6.9,32.82
PE,2018-07,136,13.1,8,5.9,42.81
AM,2018-07,18,22.3,1,5.6,32.97
GO,2018-07,112,12.2,6,5.4,34.61
PA,2018-07,57,15.3,3,5.3,46.59
SP,2018-07,2712,6.7,144,5.3,18.48
DF,2018-07,165,9.4,7,4.2,27.63
MS,2018-07,49,11.5,2,4.1,30.3
PB,2018-07,51,14.8,2,3.9,93.16
RJ,2018-07,696,9.6,25,3.6,28.32
PR,2018-07,314,8.6,8,2.5,27.44
CE,2018-07,84,12.7,2,2.4,36.85
SC,2018-07,195,9.5,4,2.1,30.33
RS,2018-07,308,10.4,6,1.9,29.05
MG,2018-07,644,8.4,11,1.7,25.52
AC,2018-07,4,13.9,0,0.0,75.0
AP,2018-07,6,31.0,0,0.0,43.8
MT,2018-07,47,12.7,0,0.0,43.53
RN,2018-07,29,13.1,0,0.0,43.6
RO,2018-07,16,13.3,0,0.0,46.6
RR,2018-07,5,18.8,0,0.0,89.18
MS,2018-08,35,14.8,13,37.1,28.59
TO,2018-08,13,12.2,3,23.1,56.89
SP,2018-08,3164,6.2,494,15.6,17.73
MA,2018-08,29,12.7,3,10.3,36.4
RJ,2018-08,723,8.3,60,8.3,24.12
PB,2018-08,28,13.4,2,7.1,52.36
SC,2018-08,201,9.1,12,6.0,29.77
RN,2018-08,20,12.0,1,5.0,37.87
DF,2018-08,143,9.1,7,4.9,24.83
PR,2018-08,327,8.1,16,4.9,24.63
PE,2018-08,83,12.3,4,4.8,42.17
RS,2018-08,293,9.9,14,4.8,30.44
GO,2018-08,117,10.4,5,4.3,27.14
MG,2018-08,700,7.5,22,3.1,26.09
MT,2018-08,39,11.5,1,2.6,28.55
BA,2018-08,159,11.5,2,1.3,31.33
ES,2018-08,103,10.1,1,1.0,28.22
AC,2018-08,3,13.6,0,0.0,52.61
AL,2018-08,16,14.3,0,0.0,41.28
AM,2018-08,4,19.6,0,0.0,32.95
AP,2018-08,2,16.7,0,0.0,31.7
CE,2018-08,55,13.2,0,0.0,44.08
PA,2018-08,43,13.9,0,0.0,47.37
PI,2018-08,20,11.9,0,0.0,47.08
RO,2018-08,8,12.6,0,0.0,55.86
SE,2018-08,23,12.6,0,0.0,45.34
